,country_region_code,country_region,prsn_wr_rs,prsn_wr_ps,prsn_rs_ps,prsn_ps_dt,spmn_wr_rs,spmn_wr_ps,spmn_rs_ps,spmn_ps_dt,kdll_wr_rs,kdll_wr_ps,kdll_rs_ps,kdll_ps_dt,population_2019
59, 13615,Jordan,-0.9658236354036566,0.2104534722330387,-0.2009552934364846,0.9887050672184554,-0.895040434645763,0.2330948295483318,-0.20260234944908653,0.9818255042578443,-0.7710114544669516,0.29561488702721544,-0.22994557428081383,0.9227321448635989,10101694.0
60, 13850,Japan,-0.9129144382154637,-0.07803635667689213,-0.08960600395021913,0.878662607213472,-0.9336941136301913,-0.16847987961315214,0.018115904186362816,0.999971656972057,-0.8346762948218623,-0.07117719031142433,-0.055017143634257755,0.9988811286265877,126264931.0
61, 14085,Kenya,-0.9546669233525689,0.12620825040587744,-0.1479396987220098,0.9963858214779477,-0.8637783784039166,0.1315363646052411,-0.14985969850403563,0.9983096895321651,-0.7236015014606691,0.2169557932473636,-0.23926522074298465,0.9906018473015427,52573973.0
62, 14320,Kyrgyzstan,-0.7983360346888588,0.008109541420676616,-0.48041837749723487,0.9565143306236983,-0.8113761301150584,-0.02168106938990503,-0.3188301371220253,0.9415217986467529,-0.6602874215587966,0.06214351396519331,-0.29411470541192825,0.8675793215768381,
63, 14555,Cambodia,-0.5649651395136418,-0.5305290245968239,0.17759339875325095,,-0.548219818543882,-0.26701602414519,-0.11375655057356583,,-0.42498780107741846,-0.2218614142274126,-0.1547912067343551,,16486542.0
64, 14790,South Korea,-0.6660975556920714,-0.21793508938979703,-0.19689991584560443,0.9056159306738993,-0.7189044223278428,-0.10297620846563524,-0.3700462819247482,0.9999059494688896,-0.571513343577932,-0.016738569503290487,-0.28088076150882735,0.9970374587164187,
65, 15025,Kuwait,-0.963480704769846,0.22629813963984796,-0.35664697323688865,0.990642822756817,-0.9545255256363927,0.17748515989109,-0.2183277460025715,0.9953899845540152,-0.842218768234229,0.1883119164115564,-0.21814150196686397,0.9782777214591656,4207083.0
66, 15260,Kazakhstan,-0.8345397101935444,-0.031526750134649,-0.42137860664821153,0.954706250530761,-0.8841931955568522,-0.005141030018725063,-0.2372399925340622,0.9981681816232729,-0.7220539931180139,0.04519138343605704,-0.23889042272070832,0.9847935521063353,18513930.0
67, 15495,Laos,-0.8710001542036242,-0.2745043738916215,0.10812125921205756,,-0.7436826416461242,-0.24276645813486658,0.08783351945855447,,-0.6172051808127563,-0.1830115961193384,0.06755872400341742,,
68, 15730,Lebanon,-0.8819485623559994,0.13824664820725863,-0.415753179839228,0.9970937142538131,-0.8134526666080639,0.10632683008471876,-0.4498826624364977,0.9989842701075802,-0.6604300213205353,0.11291541295927698,-0.4150987214021202,0.9876065062987796,6855713.0
